step;t;thet
0;0;0
1;0.0002125;0.106182
2;0.000425;0.169694
3;0.0006375;0.217661
4;0.00085;0.257687
5;0.0010625;0.292737
6;0.001275;0.324309
7;0.0014875;0.353282
8;0.0017;0.380221
9;0.0019125;0.405513
10;0.002125;0.429439
11;0.0023375;0.452209
12;0.00255;0.473986
13;0.0027625;0.494896
14;0.002975;0.515044
15;0.0031875;0.534514
16;0.0034;0.553376
17;0.0036125;0.571691
18;0.003825;0.589508
19;0.0040375;0.606871
20;0.00425;0.623819
21;0.0044625;0.640383
22;0.004675;0.656593
23;0.0048875;0.672476
24;0.0051;0.688053
25;0.0053125;0.703345
26;0.005525;0.718372
27;0.0057375;0.733149
28;0.00595;0.747691
29;0.0061625;0.762014
30;0.006375;0.776128
31;0.0065875;0.790046
32;0.0068;0.803778
33;0.0070125;0.817335
34;0.007225;0.830725
35;0.0074375;0.843957
36;0.00765;0.857038
37;0.0078625;0.869976
38;0.008075;0.882778
39;0.0082875;0.89545
40;0.0085;0.907999
41;0.0087125;0.920429
42;0.008925;0.932746
43;0.0091375;0.944955
44;0.00935;0.957061
45;0.0095625;0.969068
46;0.009775;0.980981
47;0.0099875;0.992804
48;0.0102;1.00454
49;0.0104125;1.01619
50;0.010625;1.02777
51;0.0108375;1.03927
52;0.01105;1.05069
53;0.0112625;1.06205
54;0.011475;1.07334
55;0.0116875;1.08456
56;0.0119;1.09573
57;0.0121125;1.10684
58;0.012325;1.11789
59;0.0125375;1.12889
60;0.01275;1.13984
61;0.0129625;1.15074
62;0.013175;1.1616
63;0.0133875;1.17241
64;0.0136;1.18318
65;0.0138125;1.19392
66;0.014025;1.20462
67;0.0142375;1.21528
68;0.01445;1.22592
69;0.0146625;1.23653
70;0.014875;1.24711
71;0.0150875;1.25767
72;0.0153;1.26821
73;0.0155125;1.27873
74;0.015725;1.28924
75;0.0159375;1.29974
76;0.01615;1.31022
77;0.0163625;1.32071
78;0.016575;1.33119
79;0.0167875;1.34168
80;0.017;1.35218
81;0.0172125;1.3627
82;0.017425;1.37323
83;0.0176375;1.3838
84;0.01785;1.3944
85;0.0180625;1.40505
86;0.018275;1.41575
87;0.0184875;1.42653
88;0.0187;1.4374
89;0.0189125;1.44838
90;0.019125;1.45949
91;0.0193375;1.47076
92;0.01955;1.48224
93;0.0197625;1.49396
94;0.019975;1.50599
95;0.0201875;1.51836
96;0.0204;1.53114
97;0.0206125;1.54434
98;0.020825;1.55791
99;0.0210375;1.57169
100;0.02125;1.58546
101;0.0214625;1.59899
102;0.021675;1.61213
103;0.0218875;1.62486
104;0.0221;1.63718
105;0.0223125;1.64916
106;0.022525;1.66085
107;0.0227375;1.6723
108;0.02295;1.68355
109;0.0231625;1.69464
110;0.023375;1.70561
111;0.0235875;1.71646
112;0.0238;1.72723
113;0.0240125;1.73793
114;0.024225;1.74857
115;0.0244375;1.75917
116;0.02465;1.76973
117;0.0248625;1.78026
118;0.025075;1.79077
