m;millis;step_ha;step_la;load
m;29292;-3520;-1158;63282
m;29303;-3534;-1163;63348
m;29315;-3548;-1167;62663
m;29326;-3562;-1172;62152
m;29336;-3575;-1176;61091
m;29347;-3589;-1181;60902
m;29359;-3603;-1186;59205
m;29370;-3617;-1190;57910
m;29381;-3631;-1195;56579
m;29391;-3645;-1200;56686
m;29402;-3659;-1204;57948
m;29413;-3673;-1209;57906
m;29424;-3688;-1214;59374
m;29434;-3702;-1219;60813
m;29445;-3716;-1223;60963
m;29456;-3730;-1228;60040
m;29467;-3744;-1233;60258
m;29478;-3758;-1237;60253
m;29490;-3772;-1242;61430
m;29501;-3786;-1247;62579
m;29512;-3801;-1252;61884
m;29522;-3815;-1256;62207
m;29533;-3829;-1261;63986
m;29543;-3843;-1266;65383
m;29554;-3858;-1271;64491
m;29565;-3872;-1275;63342
m;29577;-3886;-1280;63171
m;29588;-3900;-1285;62420
m;29599;-3915;-1290;61958
m;29609;-3929;-1294;62368
m;29621;-3943;-1299;61907
m;29633;-3958;-1304;61775
m;29643;-3972;-1309;60837
m;29655;-3987;-1314;61227
m;29666;-4001;-1318;61969
m;29677;-4015;-1323;62214
m;29688;-4030;-1328;61123
m;29700;-4044;-1333;60090
m;29711;-4059;-1338;60999
m;29721;-4073;-1342;61554
m;29733;-4088;-1347;62577
m;29744;-4102;-1352;63750
m;29755;-4117;-1357;65306
m;29766;-4131;-1362;66109
m;29777;-4146;-1367;66836
m;29789;-4161;-1372;67807
m;29799;-4175;-1376;67514
m;29810;-4190;-1381;68107
m;29820;-4204;-1386;67562
m;29832;-4219;-1391;67131
m;29843;-4234;-1396;66924
m;29854;-4249;-1401;66972
m;29865;-4263;-1406;67402
m;29877;-4278;-1411;67400
m;29888;-4293;-1416;66899
m;29898;-4307;-1420;66106
m;29910;-4322;-1425;66165
m;29920;-4337;-1430;65273
m;29931;-4352;-1435;65559
m;29942;-4367;-1440;65552
m;29954;-4382;-1445;64853
m;29965;-4396;-1450;64226
m;29976;-4411;-1455;64544
m;29987;-4426;-1460;66462
m;29999;-4441;-1465;66241
m;30010;-4456;-1470;65050
m;30020;-4471;-1475;66099
m;30031;-4486;-1480;66665
m;30043;-4501;-1485;66116
m;30054;-4516;-1490;66029
m;30065;-4531;-1495;66129
m;30076;-4546;-1500;67468
m;30088;-4561;-1505;66950
m;30099;-4576;-1510;67266
m;30111;-4592;-1515;66402
m;30123;-4607;-1520;65722
m;30134;-4622;-1525;65585
m;30145;-4637;-1530;65402
m;30156;-4652;-1535;65973
