m;millis;step_ha;step_la;load
m;148319;-78552;26184;61632
m;148329;-78566;26188;60988
m;148340;-78582;26194;61279
m;148352;-78597;26199;60647
m;148363;-78612;26204;59787
m;148374;-78627;26209;60490
m;148384;-78641;26213;59705
m;148396;-78657;26219;59048
m;148406;-78672;26224;59181
m;148416;-78687;26229;59418
m;148426;-78701;26233;59331
m;148439;-78717;26239;59686
m;148450;-78732;26244;60466
m;148461;-78747;26249;60845
m;148471;-78761;26253;61711
m;148483;-78777;26259;62252
m;148493;-78792;26264;62329
m;148503;-78807;26269;64096
m;148513;-78822;26274;64997
m;148525;-78837;26279;64290
m;148535;-78851;26283;63801
m;148547;-78867;26289;62941
m;148558;-78882;26294;63786
m;148570;-78897;26299;63583
m;148579;-78911;26303;63031
m;148590;-78927;26309;64085
m;148600;-78942;26314;63660
m;148612;-78957;26319;64328
m;148623;-78972;26324;65550
m;148633;-78986;26328;66005
m;148644;-79002;26334;67050
m;148656;-79017;26339;68948
m;148667;-79032;26344;68965
m;148677;-79047;26349;66092
m;148687;-79061;26353;66275
m;148700;-79077;26359;66923
m;148710;-79091;26363;65085
m;148722;-79107;26369;62493
m;148733;-79122;26374;61159
m;148745;-79137;26379;60829
m;148755;-79151;26383;60129
m;148766;-79167;26389;59656
m;148776;-79182;26394;59386
m;148788;-79197;26399;58538
m;148799;-79212;26404;59073
m;148809;-79226;26408;59822
m;148820;-79242;26414;58667
m;148832;-79257;26419;58125
m;148843;-79272;26424;57503
m;148853;-79287;26429;55888
m;148864;-79301;26433;55696
m;148875;-79317;26439;56140
m;148886;-79332;26444;56727
m;148897;-79347;26449;56334
m;148908;-79361;26453;56420
m;148919;-79377;26459;56733
m;148930;-79392;26464;56730
m;148940;-79407;26469;57012
m;148951;-79421;26473;56970
m;148962;-79437;26479;56275
m;148973;-79452;26484;56234
m;148984;-79467;26489;55836
m;148995;-79481;26493;55267
m;149006;-79497;26499;55234
m;149017;-79512;26504;55444
m;149027;-79527;26509;56062
m;149038;-79542;26514;55541
m;149048;-79556;26518;55625
m;149060;-79572;26524;55010
m;149071;-79587;26529;55563
m;149083;-79602;26534;56177
m;149093;-79616;26538;56900
m;149104;-79632;26544;57684
m;149114;-79647;26549;59329
m;149125;-79662;26554;60057
m;149135;-79676;26558;60810
m;149147;-79692;26564;61266
m;149158;-79707;26569;60450
m;149170;-79722;26574;60790
m;149181;-79737;26579;61491
m;149191;-79751;26583;60402
m;149202;-79767;26589;61010
m;149213;-79782;26594;61123
m;149223;-79797;26599;60281
m;149234;-79812;26604;60787
m;149244;-79826;26608;61983
m;149257;-79842;26614;62037
m;149268;-79857;26619;62301
m;149279;-79872;26624;61525
m;149289;-79886;26628;61328
m;149301;-79902;26634;61215
m;149311;-79917;26639;61913
m;149322;-79932;26644;62359
m;149332;-79946;26648;61724
m;149345;-79962;26654;62596
m;149356;-79977;26659;61199
m;149366;-79991;26663;60065
m;149378;-80007;26669;59218
m;149388;-80022;26674;59883
m;149398;-80037;26679;60258
m;149408;-80051;26683;60003
m;149421;-80067;26689;59928
m;149432;-80082;26694;61328
m;149443;-80097;26699;61772
m;149453;-80111;26703;61001
m;149465;-80127;26709;61387
m;149475;-80142;26714;62039
m;149485;-80157;26719;61368
m;149495;-80171;26723;62332
m;149508;-80187;26729;62293
m;149519;-80202;26734;62474
m;149530;-80217;26739;63280
m;149540;-80231;26743;64488
m;149552;-80247;26749;65259
m;149562;-80262;26754;65800
m;149572;-80276;26758;67396
m;149583;-80292;26764;69360
m;149595;-80307;26769;70466
m;149605;-80321;26773;72224
m;149617;-80337;26779;69599
m;149628;-80352;26784;71527
m;149640;-80367;26789;71872
m;149650;-80381;26793;69833
m;149661;-80397;26799;69495
m;149671;-80412;26804;68507
m;149682;-80426;26808;68257
m;149694;-80442;26814;68941
m;149705;-80457;26819;70907
m;149716;-80472;26824;68650
m;149728;-80487;26829;67262
m;149738;-80501;26833;68863
m;149749;-80517;26839;70180
m;149760;-80532;26844;71768
m;149771;-80547;26849;71621
m;149781;-80561;26853;72181
m;149793;-80577;26859;72844
m;149805;-80592;26864;72318
m;149816;-80607;26869;70910
m;149827;-80622;26874;73881
m;149837;-80636;26878;75852
m;149849;-80652;26884;75466
m;149860;-80667;26889;73470
m;149871;-80682;26894;69156
m;149882;-80697;26899;65333
m;149894;-80712;26904;64540
m;149905;-80727;26909;63182
m;149915;-80741;26913;62232
m;149926;-80757;26919;62433
m;149937;-80772;26924;63620
m;149948;-80787;26929;63284
m;149958;-80801;26933;62654
m;149970;-80817;26939;61602
m;149982;-80832;26944;61509
m;149993;-80847;26949;61439
m;150004;-80862;26954;61277
m;150014;-80876;26958;61335
m;150026;-80892;26964;61771
