m;millis;step_ha;step_la;load
m;71197;0;0;190533
m;71257;0;0;96672
m;71269;0;0;96668
m;71280;0;0;96624
m;71291;0;0;96678
m;71304;0;0;96628
m;71314;0;0;96704
m;71325;0;0;96702
m;71337;0;0;96729
m;71349;0;0;96735
m;71360;0;0;96683
m;71371;0;0;96724
m;71383;0;0;96676
m;71394;0;0;96739
m;71405;0;0;96705
m;71417;0;0;96630
m;71429;0;0;96657
m;71439;0;0;96652
m;71451;0;0;96698
m;71462;0;0;96646
m;71474;0;0;96721
m;71485;0;0;96695
m;71497;0;0;96681
m;71507;0;0;96685
m;71519;0;0;96641
m;71531;0;0;96628
m;71542;0;0;96598
m;71554;0;0;96661
m;71565;0;0;96678
m;71576;0;0;96673
m;71587;0;0;96690
m;71599;0;0;96657
m;71611;0;0;96680
m;71622;0;0;96585
m;71632;0;0;96657
m;71645;0;0;96651
m;71656;0;0;96673
m;71667;0;0;96729
m;71680;0;0;96669
m;71691;0;0;96659
m;71701;0;0;96643
m;71712;0;0;96701
m;71725;0;0;96696
m;71736;0;0;96681
m;71747;0;0;96646
m;71758;0;0;96673
m;71770;0;0;96750
m;71781;0;0;96705
m;71793;0;0;96668
m;71804;0;0;96610
m;71816;0;0;96664
m;71826;0;0;96637
m;71838;0;0;96620
m;71849;0;0;96615
m;71861;0;0;96602
m;71873;0;0;96619
m;71884;0;0;96587
m;71895;0;0;96664
m;71907;0;0;96685
m;71918;0;0;96690
m;71929;0;0;96678
m;71941;0;0;96711
m;71951;0;0;96731
m;71962;0;0;96579
m;71973;0;0;96633
m;71986;0;0;96711
m;71997;0;0;96693
m;72008;0;0;96699
m;72019;0;0;96636
m;72031;0;0;96684
m;72042;0;0;96613
m;72054;0;0;96636
m;72066;0;0;96659
m;72077;0;0;96664
m;72087;0;0;96667
m;72099;0;0;96698
m;72111;0;0;96701
m;72122;0;0;96645
m;72134;0;0;96643
m;72144;0;0;96640
m;72156;0;0;96721
m;72168;0;0;96667
m;72179;0;0;96620
m;72190;0;0;96648
m;72202;0;0;96625
m;72213;0;0;96681
m;72224;0;0;96700
m;72236;0;0;96707
m;72248;0;0;96707
m;72259;0;0;96610
m;72270;0;0;96614
m;72282;0;0;96570
m;72293;0;0;96617
m;72304;0;0;96611
m;72315;0;0;96634
m;72328;0;0;96632
m;72338;0;0;96653
m;72349;0;0;96704
m;72361;0;0;96704
m;72373;0;0;96636
m;72384;0;0;96640
m;72396;0;0;96707
m;72407;0;0;96612
m;72418;0;0;96606
m;72429;0;0;96635
m;72441;0;0;96660
m;72453;0;0;96681
m;72463;0;0;96640
m;72475;0;0;96630
m;72486;0;0;96644
m;72498;0;0;96650
m;72510;0;0;96629
m;72521;0;0;96597
m;72531;0;0;96651
m;72543;0;0;96685
m;72555;0;0;96711
m;72566;0;0;96695
m;72578;0;0;96637
m;72590;0;0;96642
m;72600;0;0;96602
m;72611;0;0;96653
m;72624;0;0;96616
m;72635;0;0;96661
m;72646;0;0;96609
m;72656;0;0;96595
m;72669;0;0;96651
m;72680;0;0;96639
m;72691;0;0;96685
m;72704;0;0;96602
m;72715;0;0;96706
m;72725;0;0;96668
m;72737;0;0;96595
m;72749;0;0;96642
m;72760;0;0;96640
m;72772;0;0;96652
m;72783;0;0;96608
m;72794;0;0;96702
m;72805;0;0;96668
m;72817;0;0;96670
m;72828;0;0;96670
m;72840;0;0;96597
m;72851;0;0;96673
m;72862;0;0;96644
m;72873;0;0;96660
m;72886;0;0;96699
m;72897;0;0;96691
m;72908;0;0;96646
m;72919;0;0;96599
m;72931;0;0;96635
m;72942;0;0;96654
m;72953;0;0;96715
m;72966;0;0;96652
m;72977;0;0;96659
m;72987;0;0;96668
m;72999;0;0;96669
m;73011;0;0;96703
m;73022;0;0;96632
m;73033;0;0;96719
m;73044;0;0;96685
m;73056;0;0;96617
m;73067;0;0;96582
m;73079;0;0;96558
m;73091;0;0;96671
m;73102;0;0;96709
m;73113;0;0;96757
m;73124;0;0;96674
m;73136;0;0;96611
m;73147;0;0;96637
m;73159;0;0;96589
m;73169;0;0;96616
m;73181;0;0;96624
m;73193;0;0;96733
m;73204;0;0;96652
m;73216;0;0;96645
m;73228;0;0;96659
m;73238;0;0;96547
m;73249;0;0;96659
m;73261;0;0;96709
m;73273;0;0;96666
m;73284;0;0;96664
m;73295;0;0;96584
m;73307;0;0;96603
m;73318;0;0;96631
m;73329;0;0;96648
m;73341;0;0;96664
m;73353;0;0;96707
m;73363;0;0;96668
m;73374;0;0;96683
m;73387;0;0;96688
m;73398;0;0;96623
m;73409;0;0;96656
m;73421;0;0;96555
m;73432;0;0;96650
m;73443;0;0;96626
m;73455;0;0;96566
m;73466;0;0;96649
m;73478;0;0;96637
m;73490;0;0;96636
m;73500;0;0;96593
m;73511;0;0;96667
m;73523;0;0;96707
m;73535;0;0;96690
m;73546;0;0;96641
m;73556;0;0;96577
m;73569;0;0;96614
m;73580;0;0;96631
m;73591;0;0;96608
m;73604;0;0;96578
m;73615;0;0;96634
m;73625;0;0;96634
m;73636;0;0;96615
m;73649;0;0;96703
m;73660;0;0;96668
m;73671;0;0;96696
m;73683;0;0;96658
m;73694;0;0;96723
m;73705;0;0;96651
m;73717;0;0;96604
m;73729;0;0;96661
m;73740;0;0;96603
m;73750;0;0;96672
m;73762;0;0;96641
m;73774;0;0;96691
m;73785;0;0;96626
m;73797;0;0;96674
m;73808;0;0;96696
m;73819;0;0;96636
m;73831;0;0;96689
m;73842;0;0;96626
m;73853;0;0;96661
m;73865;0;0;96693
m;73876;0;0;96643
m;73887;0;0;96661
m;73899;0;0;96672
m;73911;0;0;96732
m;73922;0;0;96629
m;73933;0;0;96640
m;73945;0;0;96558
m;73956;0;0;96577
m;73967;0;0;96651
m;73978;0;0;96598
m;73991;0;0;96616
m;74002;0;0;96592
m;74012;0;0;96627
m;74024;0;0;96663
m;74036;0;0;96647
m;74047;0;0;96724
m;74059;0;0;96672
m;74070;0;0;96655
m;74081;0;0;96653
m;74092;0;0;96721
m;74104;0;0;96692
m;74116;0;0;96647
m;74127;0;0;96666
m;74138;0;0;96610
m;74149;0;0;96656
m;74161;0;0;96711
m;74173;0;0;96705
m;74184;0;0;96646
m;74195;0;0;96679
m;74206;0;0;96655
m;74218;0;0;96600
m;74229;0;0;96604
m;74241;0;0;96533
m;74253;0;0;96580
m;74263;0;0;96605
m;74274;0;0;96667
m;74287;0;0;96651
m;74298;0;0;96631
m;74309;0;0;96680
m;74321;0;0;96641
m;74332;0;0;96702
m;74343;0;0;96700
m;74354;0;0;96657
m;74366;0;0;96657
m;74378;0;0;96619
m;74389;0;0;96700
m;74400;0;0;96621
m;74412;0;0;96659
m;74423;0;0;96614
m;74435;0;0;96593
m;74446;0;0;96611
m;74457;0;0;96592
m;74468;0;0;96715
m;74480;0;0;96611
m;74491;0;0;96638
m;74503;0;0;96623
m;74515;0;0;96610
m;74525;0;0;96586
m;74536;0;0;96599
m;74549;0;0;96605
m;74560;0;0;96584
m;74571;0;0;96673
m;74583;0;0;96616
m;74594;0;0;96646
m;74605;0;0;96674
m;74616;0;0;96613
m;74629;0;0;96661
m;74640;0;0;96582
m;74650;0;0;96631
m;74662;0;0;96642
m;74674;0;0;96702
m;74685;0;0;96651
m;74696;0;0;96613
m;74708;0;0;96613
m;74719;0;0;96593
m;74730;0;0;96704
m;74742;0;0;96689
m;74754;0;0;96668
m;74765;0;0;96667
m;74776;0;0;96637
m;74787;0;0;96721
m;74799;0;0;96641
m;74810;0;0;96669
m;74822;0;0;96683
m;74833;0;0;96657
m;74844;0;0;96716
m;74856;0;0;96676
m;74867;0;0;96669
m;74878;0;0;96707
m;74891;0;0;96726
m;74902;0;0;96664
m;74912;0;0;96706
m;74924;0;0;96642
m;74936;0;0;96601
m;74947;0;0;96645
m;74958;0;0;96622
m;74970;0;0;96655
m;74981;0;0;96586
m;74992;0;0;96635
m;75004;0;0;96603
m;75016;0;0;96609
m;75027;0;0;96663
m;75037;0;0;96586
m;75049;0;0;96695
m;75061;0;0;96678
m;75072;0;0;96716
m;75084;0;0;96673
m;75096;0;0;96666
m;75106;0;0;96646
m;75118;0;0;96615
m;75129;0;0;96676
m;75141;0;0;96653
m;75153;0;0;96664
m;75163;0;0;96701
m;75174;0;0;96623
m;75186;0;0;96596
m;75198;0;0;96576
m;75209;0;0;96746
m;75220;0;0;96647
m;75232;0;0;96615
m;75243;0;0;96644
m;75254;0;0;96659
m;75267;0;0;96646
m;75278;0;0;96628
m;75289;0;0;96595
m;75299;0;0;96595
m;75312;0;0;96650
m;75323;0;0;96614
m;75334;0;0;96591
m;75346;0;0;96660
m;75357;0;0;96631
m;75368;0;0;96625
m;75380;0;0;96582
m;75392;0;0;96607
m;75403;0;0;96582
m;75414;0;0;96612
m;75425;0;0;96618
m;75437;0;0;96606
m;75448;0;0;96616
m;75460;0;0;96516
m;75471;0;0;96563
m;75482;0;0;96612
m;75494;0;0;96676
m;75505;0;0;96697
m;75516;0;0;96683
m;75528;0;0;96633
m;75540;0;0;96562
m;75550;0;0;96641
m;75561;0;0;96617
m;75574;0;0;96649
m;75585;0;0;96688
m;75596;0;0;96610
m;75609;0;0;96594
m;75619;0;0;96546
m;75630;0;0;96612
m;75641;0;0;96686
m;75654;0;0;96682
m;75665;0;0;96671
m;75675;0;0;96610
m;75687;0;0;96621
m;75699;0;0;96595
m;75710;0;0;96661
m;75722;0;0;96632
m;75734;0;0;96662
m;75744;0;0;96601
m;75755;0;0;96584
m;75767;0;0;96678
m;75779;0;0;96596
m;75790;0;0;96573
m;75802;0;0;96548
m;75812;0;0;96612
m;75824;0;0;96668
m;75836;0;0;96730
m;75847;0;0;96733
m;75858;0;0;96677
m;75869;0;0;96691
m;75881;0;0;96621
m;75892;0;0;96643
m;75904;0;0;96645
m;75916;0;0;96672
m;75927;0;0;96692
m;75937;0;0;96621
m;75950;0;0;96666
m;75961;0;0;96661
m;75972;0;0;96685
m;75984;0;0;96694
m;75996;0;0;96599
m;76006;0;0;96626
m;76017;0;0;96601
m;76029;0;0;96641
m;76041;0;0;96619
m;76052;0;0;96696
m;76063;0;0;96631
m;76075;0;0;96586
m;76086;0;0;96653
m;76098;0;0;96564
m;76109;0;0;96622
m;76121;0;0;96568
m;76131;0;0;96619
m;76143;0;0;96623
m;76154;0;0;96595
m;76166;0;0;96645
m;76178;0;0;96658
m;76188;0;0;96676
m;76199;0;0;96582
m;76212;0;0;96588
m;76223;0;0;96584
m;76234;0;0;96622
m;76246;0;0;96648
m;76257;0;0;96614
m;76268;0;0;96640
m;76279;0;0;96562
m;76292;0;0;96594
m;76303;0;0;96648
m;76314;0;0;96660
m;76325;0;0;96645
m;76337;0;0;96589
m;76348;0;0;96625
m;76359;0;0;96619
m;76371;0;0;96594
m;76382;0;0;96536
m;76393;0;0;96603
m;76405;0;0;96669
m;76417;0;0;96663
m;76428;0;0;96661
m;76440;0;0;96606
m;76450;0;0;96680
m;76462;0;0;96654
m;76473;0;0;96630
m;76485;0;0;96615
m;76496;0;0;96633
m;76508;0;0;96691
m;76519;0;0;96673
m;76530;0;0;96707
m;76541;0;0;96605
m;76554;0;0;96634
m;76565;0;0;96726
m;76575;0;0;96582
m;76587;0;0;96649
m;76599;0;0;96617
m;76610;0;0;96543
m;76621;0;0;96664
m;76634;0;0;96680
m;76644;0;0;96566
m;76655;0;0;96635
m;76667;0;0;96647
m;76679;0;0;96598
m;76690;0;0;96771
m;76702;0;0;96718
m;76712;0;0;96646
m;76724;0;0;96602
m;76735;0;0;96620
m;76747;0;0;96617
m;76759;0;0;96483
m;76769;0;0;96566
m;76781;0;0;96607
m;76792;0;0;96554
m;76804;0;0;96564
m;76816;0;0;96607
m;76827;0;0;96681
m;76837;0;0;96652
m;76849;0;0;96667
m;76861;0;0;96629
m;76872;0;0;96637
m;76883;0;0;96663
m;76896;0;0;96640
m;76906;0;0;96665
m;76917;0;0;96637
m;76930;0;0;96708
m;76941;0;0;96624
m;76952;0;0;96653
m;76962;0;0;96623
m;76975;0;0;96574
m;76986;0;0;96626
m;76997;0;0;96657
m;77009;0;0;96708
m;77021;0;0;96668
m;77031;0;0;96704
m;77043;0;0;96617
m;77054;0;0;96613
m;77066;0;0;96709
m;77077;0;0;96660
m;77088;0;0;96681
m;77100;0;0;96626
m;77111;0;0;96640
m;77123;0;0;96631
m;77134;0;0;96634
m;77146;0;0;96619
m;77157;0;0;96618
m;77168;0;0;96654
m;77179;0;0;96562
m;77191;0;0;96599
m;77203;0;0;96642
m;77214;0;0;96685
m;77224;0;0;96664
m;77237;0;0;96558
m;77248;0;0;96547
m;77259;0;0;96523
m;77272;0;0;96582
m;77282;0;0;96583
m;77293;0;0;96651
m;77304;0;0;96696
m;77317;0;0;96633
m;77328;0;0;96647
m;77339;0;0;96636
m;77350;0;0;96671
m;77362;0;0;96630
m;77373;0;0;96689
m;77385;0;0;96741
m;77396;0;0;96620
m;77408;0;0;96645
m;77418;0;0;96624
m;77429;0;0;96625
m;77441;0;0;96549
m;77452;0;0;96620
m;77464;0;0;96664
m;77474;0;0;96596
m;77486;0;0;96661
m;77498;0;0;96646
m;77509;0;0;96632
m;77520;0;0;96624
m;77533;0;0;96644
m;77543;0;0;96621
m;77554;0;0;96594
m;77565;0;0;96652
m;77578;0;0;96588
m;77589;0;0;96626
m;77600;0;0;96628
m;77612;0;0;96629
m;77623;0;0;96646
m;77634;0;0;96640
m;77646;0;0;96646
m;77658;0;0;96624
m;77668;0;0;96682
m;77679;0;0;96651
m;77691;0;0;96651
m;77703;0;0;96674
m;77714;0;0;96609
m;77726;0;0;96622
m;77736;0;0;96626
m;77748;0;0;96693
m;77760;0;0;96630
m;77771;0;0;96641
m;77783;0;0;96656
m;77793;0;0;96563
m;77805;0;0;96572
m;77816;0;0;96582
m;77828;0;0;96686
m;77840;0;0;96672
m;77851;0;0;96703
m;77861;0;0;96706
m;77874;0;0;96684
m;77885;0;0;96749
m;77896;0;0;96707
m;77907;0;0;96653
m;77920;0;0;96667
m;77930;0;0;96672
m;77941;0;0;96679
m;77954;0;0;96649
m;77965;0;0;96669
m;77976;0;0;96658
m;77987;0;0;96675
m;77999;0;0;96664
m;78010;0;0;96672
m;78021;0;0;96594
m;78033;0;0;96564
m;78045;0;0;96586
m;78055;0;0;96551
m;78067;0;0;96582
m;78078;0;0;96575
m;78090;0;0;96644
m;78102;0;0;96671
m;78113;0;0;96653
m;78124;0;0;96680
m;78135;0;0;96593
m;78147;0;0;96649
m;78158;0;0;96583
m;78170;0;0;96633
m;78181;0;0;96634
m;78192;0;0;96631
m;78203;0;0;96623
m;78216;0;0;96560
m;78227;0;0;96622
m;78238;0;0;96668
m;78248;0;0;96707
m;78260;0;0;96692
m;78271;0;0;96666
m;78282;0;0;96656
m;78295;0;0;96590
m;78306;0;0;96643
m;78316;0;0;96601
m;78328;0;0;96638
m;78340;0;0;96630
m;78351;0;0;96616
m;78363;0;0;96661
m;78373;0;0;96605
m;78385;0;0;96709
m;78396;0;0;96645
m;78408;0;0;96638
m;78419;0;0;96650
m;78431;0;0;96630
m;78442;0;0;96619
m;78453;0;0;96559
m;78465;0;0;96677
m;78477;0;0;96665
m;78488;0;0;96674
m;78498;0;0;96640
m;78510;0;0;96641
m;78522;0;0;96595
m;78533;0;0;96560
m;78544;0;0;96634
m;78557;0;0;96602
m;78567;0;0;96623
m;78578;0;0;96649
m;78590;0;0;96627
m;78602;0;0;96677
m;78613;0;0;96619
m;78624;0;0;96644
m;78636;0;0;96699
m;78647;0;0;96736
m;78658;0;0;96727
m;78670;0;0;96657
m;78682;0;0;96612
m;78692;0;0;96589
m;78704;0;0;96585
m;78715;0;0;96562
m;78727;0;0;96676
m;78738;0;0;96659
m;78750;0;0;96589
m;78760;0;0;96569
m;78772;0;0;96646
m;78784;0;0;96718
m;78795;0;0;96641
m;78807;0;0;96686
m;78819;0;0;96704
m;78829;0;0;96678
m;78840;0;0;96642
m;78852;0;0;96595
m;78864;0;0;96594
m;78875;0;0;96497
m;78885;0;0;96584
m;78898;0;0;96668
m;78909;0;0;96677
m;78920;0;0;96569
m;78932;0;0;96619
m;78944;0;0;96670
m;78954;0;0;96614
m;78965;0;0;96721
m;78977;0;0;96650
m;78988;0;0;96621
m;78999;0;0;96608
m;79011;0;0;96563
m;79022;0;0;96609
m;79033;0;0;96580
m;79045;0;0;96630
m;79056;0;0;96539
m;79068;0;0;96602
m;79079;0;0;96603
m;79090;0;0;96616
m;79101;0;0;96676
m;79113;0;0;96562
m;79125;0;0;96630
m;79136;0;0;96665
m;79147;0;0;96636
m;79159;0;0;96624
m;79170;0;0;96646
m;79181;0;0;96734
m;79194;0;0;96716
m;79204;0;0;96715
m;79215;0;0;96638
m;79226;0;0;96680
m;79239;0;0;96647
m;79250;0;0;96657
m;79261;0;0;96659
m;79272;0;0;96632
m;79284;0;0;96629
m;79295;0;0;96627
m;79307;0;0;96611
m;79319;0;0;96611
m;79330;0;0;96585
m;79340;0;0;96680
m;79352;0;0;96650
m;79364;0;0;96646
m;79375;0;0;96595
m;79387;0;0;96643
m;79397;0;0;96673
m;79409;0;0;96746
m;79421;0;0;96744
m;79432;0;0;96645
m;79443;0;0;96687
m;79455;0;0;96680
m;79466;0;0;96615
m;79477;0;0;96661
m;79489;0;0;96638
m;79501;0;0;96629
m;79512;0;0;96717
m;79523;0;0;96617
m;79535;0;0;96527
m;79546;0;0;96761
m;79557;0;0;96560
m;79568;0;0;96492
m;79581;0;0;96844
m;79591;0;0;96600
m;79602;0;0;96482
m;79614;0;0;96794
m;79626;0;0;96679
m;79637;0;0;96503
m;79649;0;0;96683
m;79660;0;0;96597
m;79671;0;0;96555
m;79682;0;0;96740
m;79693;0;0;96753
m;79705;0;0;96619
m;79716;0;0;96413
m;79727;0;0;96547
m;79738;0;0;96667
m;79750;0;0;96558
m;79762;0;0;96614
m;79773;0;0;96673
m;79783;0;0;96686
m;79796;0;0;96665
m;79807;0;0;96908
m;79818;0;0;96578
m;79830;0;0;96416
m;79842;0;0;96684
m;79852;0;0;96497
m;79863;0;0;96605
m;79876;0;0;96794
m;79887;0;0;96693
m;79898;0;0;96642
m;79909;0;0;96644
m;79921;0;0;96660
m;79932;0;0;96592
m;79943;0;0;96571
m;79955;0;0;96656
m;79967;0;0;96681
m;79977;0;0;96682
m;79989;0;0;96771
m;80001;0;0;96791
m;80012;0;0;96636
m;80024;0;0;96700
m;80035;0;0;96630
m;80046;0;0;96625
m;80057;0;0;96622
m;80069;0;0;96607
m;80080;0;0;96570
m;80092;0;0;96568
m;80103;0;0;96659
m;80114;0;0;96587
m;80125;0;0;96619
m;80138;0;0;96692
m;80149;0;0;96667
m;80160;0;0;96645
m;80171;0;0;96643
m;80183;0;0;96715
m;80194;0;0;96681
m;80205;0;0;96649
m;80218;0;0;96629
m;80229;0;0;96681
m;80239;0;0;96625
m;80251;0;0;96614
m;80263;0;0;96689
m;80274;0;0;96641
m;80285;0;0;96623
m;80296;0;0;96543
m;80308;0;0;96617
m;80319;0;0;96710
m;80331;0;0;96643
m;80343;0;0;96629
m;80354;0;0;96631
m;80365;0;0;96705
m;80376;0;0;96653
m;80388;0;0;96603
m;80399;0;0;96656
m;80410;0;0;96606
m;80420;0;0;96614
m;80432;0;0;96614
m;80444;0;0;96654
m;80455;0;0;96680
m;80466;0;0;96665
m;80479;0;0;96638
m;80489;0;0;96634
m;80500;0;0;96717
m;80513;0;0;96641
m;80524;0;0;96616
m;80535;0;0;96564
m;80546;0;0;96610
m;80558;0;0;96618
m;80569;0;0;96604
m;80580;0;0;96655
m;80592;0;0;96599
m;80604;0;0;96663
m;80614;0;0;96634
m;80626;0;0;96550
m;80637;0;0;96673
m;80649;0;0;96584
m;80660;0;0;96601
m;80672;0;0;96865
m;80683;0;0;96493
m;80694;0;0;96524
m;80706;0;0;96745
m;80717;0;0;96558
m;80729;0;0;96607
m;80741;0;0;96785
m;80751;0;0;96579
m;80762;0;0;96659
m;80774;0;0;96773
m;80786;0;0;96619
m;80797;0;0;96672
m;80807;0;0;96701
m;80820;0;0;96645
m;80831;0;0;96678
m;80842;0;0;96714
m;80855;0;0;96556
m;80866;0;0;96598
m;80876;0;0;96666
m;80887;0;0;96673
m;80900;0;0;96712
m;80911;0;0;96658
m;80922;0;0;96631
m;80934;0;0;96607
m;80945;0;0;96631
m;80956;0;0;96643
m;80968;0;0;96647
m;80979;0;0;96715
m;80991;0;0;96637
m;81001;0;0;96629
m;81013;0;0;96644
m;81025;0;0;96650
m;81036;0;0;96661
m;81048;0;0;96630
m;81059;0;0;96609
m;81070;0;0;96624
m;81082;0;0;96683
m;81093;0;0;96678
m;81104;0;0;96656
m;81116;0;0;96665
m;81126;0;0;96606
m;81137;0;0;96634
m;81148;0;0;96622
m;81161;0;0;96632
m;81172;0;0;96558
m;81183;0;0;96598
m;81195;0;0;96665
m;81206;0;0;96705
m;81217;0;0;96621
m;81228;0;0;96536
m;81240;0;0;96674
m;81251;0;0;96644
m;81261;0;0;96641
m;81273;0;0;96675
m;81285;0;0;96632
m;81296;0;0;96689
m;81308;0;0;96675
m;81318;0;0;96620
m;81330;0;0;96578
m;81342;0;0;96528
m;81353;0;0;96743
m;81364;0;0;96644
m;81376;0;0;96527
m;81387;0;0;96694
m;81398;0;0;96731
m;81410;0;0;96586
m;81422;0;0;96717
m;81433;0;0;96646
m;81444;0;0;96627
m;81456;0;0;96697
m;81467;0;0;96581
m;81478;0;0;96635
m;81489;0;0;96657
m;81502;0;0;96555
m;81512;0;0;96624
m;81523;0;0;96709
m;81536;0;0;96603
m;81547;0;0;96626
m;81558;0;0;96732
m;81570;0;0;96614
m;81581;0;0;96661
m;81592;0;0;96646
m;81603;0;0;96597
m;81615;0;0;96605
m;81627;0;0;96610
m;81638;0;0;96603
m;81649;0;0;96617
m;81660;0;0;96716
m;81672;0;0;96715
m;81684;0;0;96661
m;81695;0;0;96651
m;81705;0;0;96644
m;81717;0;0;96564
m;81729;0;0;96628
m;81740;0;0;96669
m;81752;0;0;96398
m;81764;0;0;96631
m;81774;0;0;96656
m;81785;0;0;96514
m;81798;0;0;96728
m;81809;0;0;96655
m;81820;0;0;96648
m;81830;0;0;96698
m;81843;0;0;96660
m;81854;0;0;96586
m;81865;0;0;96618
m;81878;0;0;96676
m;81889;0;0;96645
m;81899;0;0;96642
m;81911;0;0;96618
m;81923;0;0;96706
m;81934;0;0;96692
m;81945;0;0;96639
m;81956;0;0;96641
m;81967;0;0;96574
m;81978;0;0;96653
m;81990;0;0;96630
m;82001;0;0;96626
m;82013;0;0;96637
m;82024;0;0;96688
m;82035;0;0;96768
m;82046;0;0;96678
m;82059;0;0;96636
m;82070;0;0;96598
m;82081;0;0;96637
m;82092;0;0;96647
m;82104;0;0;96628
