m;millis;step_ha;step_la;load
m;18648;0;0;62707
m;18656;0;0;62745
m;18668;0;0;62677
m;18678;0;0;62749
m;18690;0;0;62702
m;18701;0;0;62699
m;18713;0;0;62669
m;18724;0;0;62773
m;18736;0;0;62838
m;18747;0;0;62592
m;18758;0;0;62601
m;18769;0;0;62591
m;18782;0;0;62718
m;18793;0;0;62640
m;18803;0;0;62739
m;18814;0;0;62827
m;18827;0;0;62720
m;18838;0;0;62786
m;18849;0;0;62660
m;18862;0;0;62707
m;18872;0;0;62672
m;18883;0;0;62682
m;18895;0;0;62734
m;18907;0;0;62628
m;18918;0;0;62690
m;18929;0;0;62655
m;18940;0;0;62739
m;18952;0;0;62662
m;18963;0;0;62656
m;18975;0;0;62692
m;18987;0;0;62666
m;18997;0;0;62738
m;19009;0;0;62669
m;19020;0;0;62769
m;19032;0;0;62736
m;19043;0;0;62637
m;19055;0;0;62652
m;19065;0;0;62599
m;19077;0;0;62792
m;19089;0;0;62780
m;19100;0;0;62752
m;19111;0;0;62708
m;19124;0;0;62687
m;19134;0;0;62737
m;19145;0;0;62670
m;19156;0;0;62822
m;19169;0;0;62720
m;19180;0;0;62782
m;19190;0;0;62718
m;19203;0;0;62691
m;19214;0;0;62751
m;19225;0;0;62624
m;19237;0;0;62762
m;19249;0;0;62650
m;19259;0;0;62710
m;19270;0;0;62707
m;19282;0;0;62767
m;19294;0;0;62780
m;19305;0;0;62644
m;19317;0;0;62718
m;19328;0;0;62579
m;19339;0;0;62635
m;19351;0;0;62645
m;19362;0;0;62641
m;19374;0;0;62753
m;19384;0;0;62639
m;19395;0;0;62718
m;19406;0;0;62648
m;19418;0;0;62678
m;19430;0;0;62681
m;19441;0;0;62738
m;19451;0;0;62726
m;19464;0;0;62647
m;19475;0;0;62649
m;19486;0;0;62603
m;19499;0;0;62761
m;19510;0;0;62733
m;19520;0;0;62713
m;19531;0;0;62658
m;19544;0;0;62620
m;19555;0;0;62736
m;19566;0;0;62622
m;19577;0;0;62717
m;19589;0;0;62702
m;19600;0;0;62717
m;19612;0;0;62777
m;19623;0;0;62726
m;19635;0;0;62832
m;19645;0;0;62677
m;19657;0;0;62681
m;19668;0;0;62599
m;19680;0;0;62655
m;19692;0;0;62782
m;19703;0;0;62743
m;19714;0;0;62739
m;19726;0;0;62609
