m;millis;step_ha;step_la;load
m;65010;0;0;79676
m;65019;0;0;79651
m;65032;0;0;79518
m;65043;0;0;79531
m;65054;0;0;79644
m;65065;0;0;79658
m;65077;0;0;79666
m;65088;0;0;79536
m;65099;0;0;79671
m;65112;0;0;79604
m;65123;0;0;79620
m;65134;0;0;79663
m;65145;0;0;79616
m;65157;0;0;79791
m;65168;0;0;79647
m;65179;0;0;79704
m;65191;0;0;79656
m;65202;0;0;79713
m;65213;0;0;79609
m;65225;0;0;79493
m;65236;0;0;79632
m;65248;0;0;79564
m;65260;0;0;79652
m;65270;0;0;79591
m;65282;0;0;79619
m;65293;0;0;79580
m;65304;0;0;79572
m;65315;0;0;79672
m;65327;0;0;79615
m;65338;0;0;79625
m;65349;0;0;79571
m;65360;0;0;79658
m;65373;0;0;79618
m;65384;0;0;79580
m;65394;0;0;79654
m;65406;0;0;79574
m;65418;0;0;79686
m;65429;0;0;79545
m;65440;0;0;79659
m;65453;0;0;79657
m;65463;0;0;79489
m;65474;0;0;79574
m;65486;0;0;79571
m;65498;0;0;79681
m;65509;0;0;79553
m;65521;0;0;79547
m;65531;0;0;79565
m;65543;0;0;79665
m;65554;0;0;79689
m;65566;0;0;79545
m;65577;0;0;79690
m;65588;0;0;79683
m;65600;0;0;79749
m;65611;0;0;79685
m;65623;0;0;79627
m;65635;0;0;79602
m;65646;0;0;79574
m;65656;0;0;79654
m;65668;0;0;79653
m;65680;0;0;79688
m;65691;0;0;79612
m;65702;0;0;79596
m;65715;0;0;79704
m;65725;0;0;79652
m;65736;0;0;79701
m;65748;0;0;79546
m;65760;0;0;79617
m;65771;0;0;79602
m;65781;0;0;79622
m;65794;0;0;79698
m;65805;0;0;79648
m;65816;0;0;79634
m;65828;0;0;79489
m;65840;0;0;79537
m;65850;0;0;79589
m;65862;0;0;79647
m;65873;0;0;79683
m;65885;0;0;79591
m;65896;0;0;79635
m;65908;0;0;79581
m;65918;0;0;79654
m;65930;0;0;79651
m;65942;0;0;79657
m;65953;0;0;79712
m;65965;0;0;79589
m;65976;0;0;79529
m;65987;0;0;79507
m;65998;0;0;79689
m;66010;0;0;79559
m;66021;0;0;79606
m;66032;0;0;79608
m;66042;0;0;79595
m;66055;0;0;79714
m;66066;0;0;79515
m;66077;0;0;79600
m;66089;0;0;79579
m;66101;0;0;79621
m;66111;0;0;79635
m;66122;0;0;79524
m;66134;0;0;79666
m;66145;0;0;79521
m;66156;0;0;79676
m;66167;0;0;79595
m;66179;0;0;79713
m;66190;0;0;79676
m;66202;0;0;79562
m;66213;0;0;79661
m;66225;0;0;79557
m;66236;0;0;79676
m;66247;0;0;79608
m;66258;0;0;79579
m;66270;0;0;79666
m;66282;0;0;79607
m;66293;0;0;79638
m;66304;0;0;79564
m;66316;0;0;79713
m;66327;0;0;79628
m;66338;0;0;79586
m;66351;0;0;79549
m;66361;0;0;79578
m;66372;0;0;79594
m;66383;0;0;79529
m;66396;0;0;79633
m;66407;0;0;79541
m;66418;0;0;79610
m;66429;0;0;79635
m;66441;0;0;79573
m;66452;0;0;79597
m;66464;0;0;79491
m;66476;0;0;79599
m;66487;0;0;79598
m;66497;0;0;79654
m;66509;0;0;79604
m;66521;0;0;79560
m;66532;0;0;79644
m;66544;0;0;79581
m;66554;0;0;79665
m;66566;0;0;79644
m;66578;0;0;79687
m;66589;0;0;79625
m;66600;0;0;79599
m;66612;0;0;79645
m;66623;0;0;79487
m;66634;0;0;79535
m;66646;0;0;79501
m;66658;0;0;79523
m;66669;0;0;79553
m;66680;0;0;79591
m;66692;0;0;79673
m;66703;0;0;79571
m;66714;0;0;79689
m;66725;0;0;79738
m;66738;0;0;79809
m;66749;0;0;79697
m;66759;0;0;79673
m;66771;0;0;79743
m;66783;0;0;79549
m;66794;0;0;79597
m;66806;0;0;79568
m;66817;0;0;79657
m;66828;0;0;79689
m;66839;0;0;79625
m;66850;0;0;79652
m;66862;0;0;79513
m;66873;0;0;79635
m;66884;0;0;79590
m;66895;0;0;79641
m;66907;0;0;79589
m;66919;0;0;79567
m;66930;0;0;79694
m;66941;0;0;79587
m;66953;0;0;79597
m;66964;0;0;79550
m;66975;0;0;79703
m;66987;0;0;79652
m;66999;0;0;79621
m;67009;0;0;79607
m;67020;0;0;79633
m;67033;0;0;79777
m;67044;0;0;79658
m;67055;0;0;79653
m;67067;0;0;79603
m;67078;0;0;79636
m;67089;0;0;79610
m;67100;0;0;79560
m;67112;0;0;79648
m;67124;0;0;79522
m;67135;0;0;79634
m;67146;0;0;79597
m;67158;0;0;79737
m;67169;0;0;79724
m;67181;0;0;79526
m;67192;0;0;79594
m;67203;0;0;79619
m;67214;0;0;79687
m;67226;0;0;79557
m;67237;0;0;79629
m;67249;0;0;79666
m;67261;0;0;79525
m;67271;0;0;79662
m;67282;0;0;79588
m;67295;0;0;79643
m;67306;0;0;79619
m;67317;0;0;79705
m;67329;0;0;79644
m;67340;0;0;79621
m;67351;0;0;79665
m;67362;0;0;79578
m;67375;0;0;79678
m;67386;0;0;79551
m;67396;0;0;79653
m;67408;0;0;79653
m;67420;0;0;79579
m;67431;0;0;79699
m;67442;0;0;79585
m;67454;0;0;79598
m;67465;0;0;79569
m;67476;0;0;79705
m;67488;0;0;79688
m;67500;0;0;79667
m;67511;0;0;79618
m;67523;0;0;79504
m;67533;0;0;79582
m;67545;0;0;79485
m;67556;0;0;79635
m;67568;0;0;79727
m;67579;0;0;79651
m;67590;0;0;79690
m;67602;0;0;79660
