m;millis;step_ha;step_la;load
m;326819;0;0;40856
m;326821;0;0;41029
m;326833;0;0;40894
m;326844;0;0;40949
m;326855;0;0;40844
m;326866;0;0;40788
m;326878;0;0;40916
m;326889;0;0;40820
m;326900;0;0;40992
m;326913;0;0;40953
m;326924;0;0;41007
m;326934;0;0;41024
m;326946;0;0;40939
m;326958;0;0;40979
m;326969;0;0;40947
m;326981;0;0;40966
m;326991;0;0;40910
m;327003;0;0;40979
m;327015;0;0;40945
m;327026;0;0;40886
m;327037;0;0;40963
m;327050;0;0;40896
m;327060;0;0;40969
m;327071;0;0;40973
m;327083;0;0;40999
m;327094;0;0;40937
m;327105;0;0;40914
m;327115;0;0;40934
m;327128;0;0;40842
m;327139;0;0;40941
m;327150;0;0;40870
m;327162;0;0;40932
m;327173;0;0;40858
m;327184;0;0;40910
m;327196;0;0;40980
m;327207;0;0;40852
m;327219;0;0;40866
m;327230;0;0;40883
m;327241;0;0;40952
m;327252;0;0;40883
m;327265;0;0;40877
m;327276;0;0;40869
m;327286;0;0;40825
m;327299;0;0;41013
m;327310;0;0;40871
m;327321;0;0;40960
m;327332;0;0;41064
m;327344;0;0;41039
m;327354;0;0;41001
m;327365;0;0;40882
m;327377;0;0;40969
m;327389;0;0;40892
m;327400;0;0;40940
m;327411;0;0;40930
m;327422;0;0;40996
m;327434;0;0;40980
m;327446;0;0;40905
m;327457;0;0;40992
m;327468;0;0;40942
m;327480;0;0;41032
m;327491;0;0;40921
m;327502;0;0;40940
m;327515;0;0;40989
m;327525;0;0;40916
m;327536;0;0;40911
m;327548;0;0;40920
m;327560;0;0;40917
m;327571;0;0;40959
m;327581;0;0;41037
m;327592;0;0;40970
m;327604;0;0;40933
m;327615;0;0;41004
m;327627;0;0;40941
m;327639;0;0;41048
m;327649;0;0;40950
m;327661;0;0;40986
m;327672;0;0;41046
m;327684;0;0;40946
m;327696;0;0;40903
m;327706;0;0;40778
m;327717;0;0;40967
m;327730;0;0;41005
m;327741;0;0;40996
m;327752;0;0;40886
m;327763;0;0;40841
m;327775;0;0;40971
m;327786;0;0;40917
m;327798;0;0;40964
m;327810;0;0;40935
m;327820;0;0;40939
m;327831;0;0;40887
m;327842;0;0;40865
m;327854;0;0;41023
m;327865;0;0;41006
m;327876;0;0;41052
m;327887;0;0;40905
m;327899;0;0;40956
m;327911;0;0;40868
m;327922;0;0;40856
m;327933;0;0;40816
m;327945;0;0;40802
m;327956;0;0;40921
m;327967;0;0;40842
m;327980;0;0;40890
m;327991;0;0;40928
m;328001;0;0;40973
m;328013;0;0;41011
m;328025;0;0;40877
m;328036;0;0;40988
m;328048;0;0;40886
m;328058;0;0;41004
m;328070;0;0;40975
m;328081;0;0;40991
m;328092;0;0;41065
m;328103;0;0;40809
m;328114;0;0;40858
m;328126;0;0;40872
m;328137;0;0;40888
m;328148;0;0;40875
m;328161;0;0;40848
m;328171;0;0;41016
m;328182;0;0;40934
m;328195;0;0;40931
m;328206;0;0;40926
m;328217;0;0;41097
m;328229;0;0;40979
m;328240;0;0;40945
m;328251;0;0;41023
m;328263;0;0;40938
m;328274;0;0;40986
m;328286;0;0;40853
m;328296;0;0;40945
m;328307;0;0;40964
m;328318;0;0;40902
m;328330;0;0;40896
m;328341;0;0;40897
m;328351;0;0;40974
m;328363;0;0;40875
m;328375;0;0;40927
m;328386;0;0;40892
m;328397;0;0;40802
m;328409;0;0;40820
m;328420;0;0;40776
m;328431;0;0;40943
m;328443;0;0;40912
m;328455;0;0;40926
m;328466;0;0;40991
m;328477;0;0;41010
m;328488;0;0;40947
m;328500;0;0;40789
m;328512;0;0;41041
m;328523;0;0;40899
m;328534;0;0;40851
m;328545;0;0;41015
m;328556;0;0;41007
m;328567;0;0;41068
m;328579;0;0;40962
m;328589;0;0;40974
m;328600;0;0;40951
m;328611;0;0;40944
m;328624;0;0;40950
m;328635;0;0;40825
m;328645;0;0;40828
m;328657;0;0;40966
m;328669;0;0;41006
m;328680;0;0;40940
m;328692;0;0;41012
m;328702;0;0;40914
m;328714;0;0;40968
m;328726;0;0;41024
m;328737;0;0;40948
m;328749;0;0;40930
m;328760;0;0;40883
m;328771;0;0;40911
m;328782;0;0;40848
m;328794;0;0;40930
m;328805;0;0;40952
m;328816;0;0;40855
m;328826;0;0;40939
m;328839;0;0;40868
m;328850;0;0;40937
m;328861;0;0;40825
m;328873;0;0;40889
m;328884;0;0;40923
m;328895;0;0;40847
m;328907;0;0;41028
m;328919;0;0;40976
m;328930;0;0;40924
m;328941;0;0;40898
m;328952;0;0;41033
m;328964;0;0;40911
m;328976;0;0;40966
m;328987;0;0;40988
m;328997;0;0;40934
m;329010;0;0;41064
m;329021;0;0;40905
m;329032;0;0;40922
m;329043;0;0;41035
m;329054;0;0;40894
m;329065;0;0;40898
m;329076;0;0;40910
m;329089;0;0;40931
m;329100;0;0;40898
m;329111;0;0;40918
m;329122;0;0;40964
m;329134;0;0;41057
m;329145;0;0;41042
m;329157;0;0;41014
m;329168;0;0;41096
m;329179;0;0;40984
m;329191;0;0;40986
m;329202;0;0;40888
m;329213;0;0;40885
m;329226;0;0;40976
m;329236;0;0;40913
m;329247;0;0;41018
m;329260;0;0;40995
m;329271;0;0;41060
m;329282;0;0;41027
m;329292;0;0;41048
m;329304;0;0;41037
m;329315;0;0;40914
m;329326;0;0;40971
m;329338;0;0;40890
m;329349;0;0;40967
m;329360;0;0;40941
m;329372;0;0;40892
m;329383;0;0;40942
m;329395;0;0;40883
