m;millis;step_ha;step_la;load
m;35996;0;0;25454
m;35998;0;0;25369
m;36009;0;0;25408
m;36022;0;0;25453
m;36033;0;0;25456
m;36044;0;0;25437
m;36056;0;0;25372
m;36067;0;0;25456
m;36078;0;0;25322
m;36090;0;0;25385
m;36102;0;0;25431
m;36112;0;0;25400
m;36123;0;0;25417
m;36135;0;0;25383
m;36147;0;0;25405
m;36158;0;0;25351
m;36170;0;0;25497
m;36180;0;0;25403
m;36192;0;0;25436
m;36204;0;0;25470
m;36215;0;0;25420
m;36227;0;0;25532
m;36237;0;0;25423
m;36249;0;0;25422
m;36260;0;0;25292
m;36272;0;0;25385
m;36284;0;0;25448
m;36295;0;0;25386
m;36305;0;0;25424
m;36318;0;0;25341
m;36329;0;0;25448
m;36340;0;0;25424
m;36353;0;0;25404
m;36363;0;0;25404
m;36374;0;0;25375
m;36385;0;0;25386
m;36398;0;0;25304
m;36409;0;0;25546
m;36420;0;0;25438
m;36431;0;0;25417
m;36443;0;0;25378
m;36454;0;0;25351
m;36466;0;0;25527
m;36477;0;0;25438
m;36488;0;0;25487
m;36499;0;0;25382
m;36511;0;0;25462
m;36523;0;0;25379
m;36534;0;0;25343
m;36545;0;0;25493
m;36556;0;0;25472
m;36568;0;0;25455
m;36580;0;0;25406
m;36591;0;0;25471
m;36602;0;0;25496
m;36613;0;0;25359
m;36625;0;0;25536
m;36636;0;0;25426
m;36647;0;0;25501
m;36660;0;0;25474
m;36670;0;0;25462
m;36681;0;0;25499
m;36694;0;0;25406
m;36705;0;0;25351
m;36716;0;0;25358
m;36727;0;0;25472
m;36739;0;0;25387
m;36750;0;0;25484
m;36761;0;0;25433
m;36773;0;0;25357
m;36785;0;0;25438
m;36795;0;0;25405
m;36807;0;0;25419
m;36818;0;0;25211
m;36830;0;0;25330
m;36841;0;0;25393
m;36853;0;0;25403
m;36864;0;0;25458
m;36875;0;0;25456
m;36887;0;0;25552
m;36898;0;0;25450
m;36910;0;0;25369
m;36921;0;0;25359
m;36932;0;0;25390
m;36943;0;0;25428
m;36955;0;0;25373
m;36967;0;0;25422
m;36978;0;0;25360
m;36988;0;0;25391
m;37001;0;0;25428
m;37012;0;0;25390
m;37023;0;0;25310
m;37036;0;0;25271
m;37046;0;0;25368
m;37057;0;0;25353
m;37068;0;0;25487
m;37081;0;0;25428
m;37092;0;0;25425
m;37103;0;0;25454
m;37114;0;0;25333
m;37126;0;0;25382
m;37137;0;0;25304
m;37149;0;0;25379
m;37160;0;0;25352
m;37171;0;0;25353
m;37182;0;0;25476
m;37193;0;0;25478
m;37204;0;0;25498
m;37216;0;0;25354
m;37227;0;0;25427
m;37238;0;0;25389
m;37250;0;0;25438
m;37262;0;0;25385
m;37273;0;0;25329
m;37284;0;0;25600
m;37296;0;0;25497
m;37307;0;0;25606
m;37318;0;0;25535
m;37329;0;0;25364
m;37342;0;0;25384
m;37352;0;0;25345
m;37363;0;0;25477
m;37376;0;0;25401
m;37387;0;0;25414
m;37398;0;0;25371
m;37410;0;0;25421
m;37421;0;0;25478
m;37432;0;0;25467
m;37443;0;0;25533
m;37455;0;0;25473
m;37467;0;0;25494
m;37477;0;0;25327
m;37489;0;0;25375
m;37500;0;0;25458
m;37512;0;0;25383
m;37524;0;0;25491
m;37535;0;0;25383
m;37545;0;0;25377
m;37557;0;0;25312
m;37569;0;0;25496
m;37580;0;0;25492
m;37592;0;0;25259
m;37603;0;0;25405
m;37614;0;0;25341
m;37625;0;0;25450
m;37638;0;0;25355
m;37649;0;0;25411
m;37660;0;0;25422
m;37670;0;0;25276
m;37683;0;0;25341
m;37694;0;0;25341
m;37705;0;0;25447
m;37718;0;0;25423
m;37728;0;0;25435
m;37739;0;0;25337
m;37751;0;0;25350
m;37763;0;0;25512
m;37774;0;0;25348
m;37785;0;0;25340
m;37796;0;0;25290
m;37808;0;0;25403
m;37819;0;0;25450
m;37831;0;0;25425
m;37842;0;0;25480
m;37853;0;0;25430
m;37865;0;0;25469
m;37876;0;0;25308
m;37888;0;0;25292
m;37899;0;0;25293
m;37910;0;0;25360
m;37921;0;0;25496
m;37933;0;0;25491
m;37945;0;0;25515
m;37956;0;0;25352
m;37967;0;0;25344
m;37979;0;0;25379
m;37990;0;0;25375
m;38001;0;0;25464
m;38012;0;0;25356
m;38024;0;0;25464
m;38034;0;0;25485
m;38045;0;0;25529
m;38057;0;0;25492
m;38069;0;0;25443
m;38080;0;0;25438
m;38092;0;0;25362
m;38103;0;0;25410
m;38114;0;0;25419
m;38126;0;0;25465
m;38137;0;0;25416
m;38149;0;0;25410
m;38159;0;0;25415
m;38171;0;0;25355
m;38182;0;0;25477
m;38194;0;0;25393
m;38206;0;0;25420
m;38217;0;0;25467
m;38227;0;0;25346
m;38240;0;0;25359
m;38251;0;0;25395
m;38262;0;0;25448
m;38274;0;0;25289
m;38285;0;0;25400
