m;millis;step_ha;step_la;load
m;47583;0;0;104071
m;47592;0;0;104118
m;47603;0;0;104090
m;47614;0;0;104214
m;47627;0;0;104190
m;47638;0;0;104186
m;47648;0;0;104234
m;47661;0;0;104197
m;47672;0;0;104200
m;47683;0;0;104123
m;47695;0;0;104234
m;47706;0;0;104169
m;47717;0;0;104077
m;47729;0;0;104130
m;47740;0;0;104141
m;47752;0;0;104278
m;47763;0;0;104167
m;47774;0;0;104209
m;47785;0;0;104140
m;47797;0;0;104193
m;47808;0;0;104250
m;47819;0;0;104208
m;47830;0;0;104283
m;47842;0;0;104187
m;47853;0;0;104244
m;47864;0;0;104174
m;47877;0;0;104246
m;47887;0;0;104213
m;47898;0;0;104181
m;47910;0;0;104228
m;47922;0;0;104064
m;47933;0;0;104062
m;47944;0;0;104049
m;47955;0;0;104091
m;47967;0;0;104052
m;47979;0;0;104105
m;47990;0;0;104221
m;48001;0;0;104171
m;48013;0;0;104273
m;48024;0;0;104128
m;48035;0;0;104092
m;48047;0;0;104158
m;48057;0;0;104157
m;48068;0;0;104148
m;48079;0;0;104140
m;48092;0;0;104232
m;48103;0;0;104111
m;48113;0;0;104152
m;48125;0;0;104183
m;48137;0;0;104185
m;48148;0;0;104243
m;48160;0;0;104191
m;48171;0;0;104215
m;48182;0;0;104034
m;48194;0;0;104127
m;48205;0;0;104145
m;48217;0;0;104147
m;48228;0;0;104153
m;48239;0;0;104084
m;48250;0;0;104294
m;48263;0;0;104260
m;48274;0;0;104205
m;48284;0;0;104133
m;48295;0;0;104064
m;48307;0;0;104053
m;48318;0;0;104096
m;48329;0;0;104278
m;48340;0;0;104123
m;48352;0;0;104189
m;48363;0;0;104088
m;48375;0;0;104037
m;48387;0;0;104097
m;48397;0;0;104146
m;48409;0;0;104142
m;48420;0;0;104125
m;48432;0;0;104168
m;48444;0;0;104120
m;48454;0;0;104157
m;48465;0;0;104186
m;48478;0;0;104085
m;48489;0;0;104103
m;48500;0;0;104129
m;48510;0;0;104244
m;48522;0;0;104125
m;48533;0;0;104064
m;48544;0;0;104145
m;48557;0;0;104120
m;48567;0;0;104163
m;48578;0;0;104082
m;48590;0;0;104108
m;48602;0;0;104074
m;48613;0;0;104137
m;48624;0;0;104185
m;48635;0;0;104082
m;48647;0;0;104119
m;48659;0;0;104078
m;48670;0;0;104181
m;48680;0;0;104109
m;48693;0;0;104065
m;48704;0;0;104151
m;48715;0;0;104136
m;48728;0;0;104189
m;48738;0;0;104088
m;48749;0;0;104113
m;48760;0;0;104082
m;48772;0;0;104155
m;48783;0;0;104192
m;48793;0;0;104158
m;48805;0;0;104201
m;48817;0;0;104181
m;48828;0;0;104280
m;48840;0;0;104184
m;48850;0;0;104119
m;48862;0;0;104122
m;48874;0;0;104064
m;48885;0;0;104144
m;48897;0;0;104040
m;48909;0;0;104095
m;48919;0;0;104067
m;48930;0;0;104166
m;48943;0;0;104203
m;48954;0;0;104222
m;48965;0;0;104095
m;48976;0;0;104051
m;48988;0;0;104123
m;48999;0;0;104086
m;49010;0;0;104285
m;49021;0;0;104205
m;49032;0;0;104175
m;49043;0;0;104213
m;49055;0;0;104072
m;49067;0;0;104199
m;49078;0;0;104096
m;49089;0;0;104075
m;49100;0;0;104102
m;49112;0;0;104059
m;49124;0;0;104156
m;49135;0;0;104129
m;49145;0;0;104218
m;49158;0;0;104099
m;49169;0;0;104123
m;49180;0;0;104148
m;49192;0;0;104127
m;49203;0;0;104153
m;49214;0;0;104144
m;49226;0;0;104161
m;49238;0;0;104096
m;49249;0;0;104100
m;49259;0;0;104088
m;49270;0;0;104076
m;49282;0;0;104114
m;49293;0;0;104131
m;49305;0;0;104236
m;49315;0;0;104101
m;49327;0;0;104129
m;49339;0;0;104158
m;49350;0;0;104215
m;49361;0;0;104166
m;49373;0;0;104075
m;49384;0;0;104210
m;49395;0;0;104110
m;49408;0;0;104139
m;49419;0;0;104102
m;49429;0;0;104137
m;49441;0;0;104200
m;49453;0;0;104048
m;49464;0;0;104082
m;49476;0;0;104080
m;49486;0;0;104190
m;49498;0;0;104149
m;49509;0;0;104214
m;49520;0;0;104178
m;49531;0;0;104051
m;49542;0;0;104178
m;49554;0;0;104132
m;49565;0;0;104152
m;49576;0;0;104042
m;49589;0;0;104123
m;49599;0;0;104132
m;49610;0;0;104176
m;49623;0;0;104244
m;49634;0;0;104158
m;49645;0;0;104218
m;49656;0;0;104095
m;49668;0;0;104104
m;49679;0;0;104126
m;49691;0;0;104144
m;49702;0;0;104165
m;49713;0;0;104105
m;49724;0;0;104219
m;49735;0;0;104076
m;49746;0;0;104112
m;49758;0;0;104125
m;49769;0;0;104085
m;49780;0;0;104234
m;49792;0;0;104189
m;49804;0;0;104172
m;49815;0;0;104084
m;49825;0;0;104100
m;49838;0;0;104027
m;49849;0;0;104102
m;49860;0;0;104207
m;49872;0;0;104048
m;49883;0;0;104274
m;49894;0;0;104117
m;49906;0;0;104166
m;49917;0;0;104177
m;49929;0;0;104115
m;49940;0;0;104142
m;49951;0;0;104064
m;49963;0;0;104117
m;49974;0;0;104075
m;49985;0;0;104166
m;49996;0;0;104180
m;50007;0;0;104168
m;50019;0;0;104128
m;50030;0;0;104120
m;50041;0;0;104130
m;50054;0;0;104032
m;50064;0;0;104201
m;50075;0;0;104101
m;50087;0;0;104119
m;50099;0;0;104209
m;50110;0;0;104091
m;50121;0;0;104174
m;50132;0;0;104152
m;50144;0;0;104145
m;50156;0;0;104030
m;50167;0;0;104049
m;50178;0;0;104062
m;50190;0;0;104029
